Stadium,Postcode,Latitude,Longitude,Miles from Sheffield
OWLERTON,S6 2DE,53.406031,-1.493303,1.91893407173669
MILLMOOR,S60 1HB,53.428758,-1.369397,5.185172148763958
HEADINGLEY,LS6 3BR,53.816081,-1.580617,30.307328353864172
BRAMALL LANE,S2 4QX,53.371341,-1.469862,0.7736374182932733
HILLSBOROUGH,S6 1SW,53.410844,-1.500859,2.3676590730552642
OAKWELL,S71 1ET,53.552266,-1.468631,11.729021642274168
BELLE VUE,DN4 5DX,53.517626,-1.10875,17.50177996542384
SALTERGATE,S40 4SX,53.238963,-1.434745,10.015773453168876
TATTERSFIELD,DN4 5JW,53.509088,-1.113845,17.015450229320713
THRUM HALL,HX1 4LG,53.721864,-1.884001,28.99303517922691
DON VALLEY,S9 3TL,53.395919,-1.425961,1.9839609402956417
KEEPMOAT,DN4 5JW,53.509088,-1.113845,17.015450229320713
HALLAM S P,S9 3HL,53.38996,-1.431634,1.6054551133871997
O L P,S9 3TL,53.395919,-1.425961,1.9839609402956417
CARDIFF ARMS PARK,CF10 1JA,51.479971,-3.183833,149.9943493657522
CLIFTON LANE,S65 2AA,53.429825,-1.348792,5.91724672924073
WOODBURN,S9 3HL,53.38996,-1.431634,1.6054551133871997
MOUNT ST,SO14 5FP,50.90653,-1.390823,171.1056280764231
MARY CASTLEâ€™S PARK,DN2 5QB,53.53274,-1.0799,19.062155064210476
POST OFFICE ROAD,WF7 5EP,53.677887,-1.355116,20.933430501179462
